federal_district,year,male,agegroup,population
Центральный ФО,2018,1,18-34,3028229
Центральный ФО,2018,1,35-49,2818304
Центральный ФО,2018,1,50-64,2531233
Центральный ФО,2018,1,65+,1369471
Центральный ФО,2021,1,18-34,2734359
Центральный ФО,2021,1,35-49,2979452
Центральный ФО,2021,1,50-64,2437052
Центральный ФО,2021,1,65+,1478372
г. Москва,2018,1,18-34,1352313
г. Москва,2018,1,35-49,1442539
г. Москва,2018,1,50-64,1167994
г. Москва,2018,1,65+,747564
г. Москва,2021,1,18-34,1178151
г. Москва,2021,1,35-49,1505312
г. Москва,2021,1,50-64,1206713
г. Москва,2021,1,65+,832776
Северо-Западный ФО,2018,1,18-34,1008126
Северо-Западный ФО,2018,1,35-49,926898
Северо-Западный ФО,2018,1,50-64,811863
Северо-Западный ФО,2018,1,65+,395193
Северо-Западный ФО,2021,1,18-34,920315
Северо-Западный ФО,2021,1,35-49,985551
Северо-Западный ФО,2021,1,50-64,770457
Северо-Западный ФО,2021,1,65+,441837
г. Санкт-Петербург,2018,1,18-34,659105
г. Санкт-Петербург,2018,1,35-49,571951
г. Санкт-Петербург,2018,1,50-64,448879
г. Санкт-Петербург,2018,1,65+,280363
г. Санкт-Петербург,2021,1,18-34,568812
г. Санкт-Петербург,2021,1,35-49,615278
г. Санкт-Петербург,2021,1,50-64,451445
г. Санкт-Петербург,2021,1,65+,305439
Южный ФО,2018,1,18-34,1890977
Южный ФО,2018,1,35-49,1677632
Южный ФО,2018,1,50-64,1493310
Южный ФО,2018,1,65+,888668
Южный ФО,2021,1,18-34,1732422
Южный ФО,2021,1,35-49,1791462
Южный ФО,2021,1,50-64,1458169
Южный ФО,2021,1,65+,963073
Северо-Кавказский ФО,2018,1,18-34,1286700
Северо-Кавказский ФО,2018,1,35-49,921531
Северо-Кавказский ФО,2018,1,50-64,751534
Северо-Кавказский ФО,2018,1,65+,353668
Северо-Кавказский ФО,2021,1,18-34,1237888
Северо-Кавказский ФО,2021,1,35-49,973276
Северо-Кавказский ФО,2021,1,50-64,777922
Северо-Кавказский ФО,2021,1,65+,395797
Приволжский ФО,2018,1,18-34,3394782
Приволжский ФО,2018,1,35-49,2929470
Приволжский ФО,2018,1,50-64,2799094
Приволжский ФО,2018,1,65+,1420508
Приволжский ФО,2021,1,18-34,3052860
Приволжский ФО,2021,1,35-49,3061543
Приволжский ФО,2021,1,50-64,2672205
Приволжский ФО,2021,1,65+,1547854
Уральский ФО,2018,1,18-34,1439437
Уральский ФО,2018,1,35-49,1292648
Уральский ФО,2018,1,50-64,1096165
Уральский ФО,2018,1,65+,516803
Уральский ФО,2021,1,18-34,1727217
Уральский ФО,2021,1,35-49,1829190
Уральский ФО,2021,1,50-64,1390235
Уральский ФО,2021,1,65+,706501
Сибирский ФО,2018,1,18-34,2022064
Сибирский ФО,2018,1,35-49,1758983
Сибирский ФО,2018,1,50-64,1512877
Сибирский ФО,2018,1,65+,751315
Сибирский ФО,2021,1,18-34,1819710
Сибирский ФО,2021,1,35-49,1857898
Сибирский ФО,2021,1,50-64,1427764
Сибирский ФО,2021,1,65+,826584
Дальневосточный ФО,2018,1,18-34,1071001
Дальневосточный ФО,2018,1,35-49,883195
Дальневосточный ФО,2018,1,50-64,699007
Дальневосточный ФО,2018,1,65+,329779
Дальневосточный ФО,2021,1,18-34,983578
Дальневосточный ФО,2021,1,35-49,921426
Дальневосточный ФО,2021,1,50-64,666648
Дальневосточный ФО,2021,1,65+,362288
Центральный ФО,2024,1,18-34,2508864
Центральный ФО,2024,1,35-49,3214446
Центральный ФО,2024,1,50-64,2452390
Центральный ФО,2024,1,65+,1704692
г. Москва,2024,1,18-34,1247139
г. Москва,2024,1,35-49,1548501
г. Москва,2024,1,50-64,1150300
г. Москва,2024,1,65+,965468
Северо-Западный ФО,2024,1,18-34,779512
