region,age,all,respondents,kadry_vysshej_kvalifikacii,vysshee,magistratura,specialitet,bakalavriat,nepolnoe_vysshee,srednee_professionalnoe,specialist_srednego_zvena,kvalificirovannyj_rabochij,srednee,osnovnoe,nachalnoe,doshkolnoe,ne_imejushhie_obrazovanija,iz_nih_negramotnye,ne_ukazavshie_uroven_obrazovanija
Российская Федерация,6-9,6921170,5897232,-,-,-,-,-,-,-,-,-,-,-,-,4554368,1342864,13451,1023938
Российская Федерация,10-14,8160372,7147709,-,-,-,-,-,-,-,-,-,-,-,5913902,1134502,99305,3399,1012663
Российская Федерация,15-17,4470177,3869578,-,-,-,-,-,-,2216,-,2216,790729,2296580,752533,919,26601,2367,600599
Российская Федерация,18-19 ,3093127,2604635,-,-,-,-,-,-,417076,270887,146189,1591160,556931,32372,243,6853,2057,488492
Российская Федерация,20-24 ,7750398,6135245,3387,1088653,67696,213480,807477,226576,2123475,1402477,720998,2058590,568911,49963,530,15160,5896,1615153
Российская Федерация,25-29 ,7983625,6463280,64297,2447828,327468,1011482,1108878,275554,2303902,1517988,785914,908865,404910,40643,323,16958,7103,1520345
Российская Федерация,30-34 ,12156975,9799177,142690,3766438,269157,2450237,1047044,342998,3564381,2312783,1251598,1300637,589337,67444,999,24253,9613,2357798
Российская Федерация,35-39 ,13043984,10511603,175779,3962218,260942,2732388,968888,332823,3884975,2503063,1381912,1405257,651269,73915,886,24481,9156,2532381
Российская Федерация,40-44 ,11653990,9502079,160029,3233567,217730,2272594,743243,268746,3756048,2402488,1353560,1373404,629902,58618,762,21003,7556,2151911
Российская Федерация,45-49 ,10413632,8609297,138654,2586804,175428,1853844,557532,213871,3741322,2395824,1345498,1324398,541395,44920,689,17244,6175,1804335
Российская Федерация,50-54 ,9209284,7673771,118025,1975042,132231,1478694,364117,176563,3688739,2368364,1320375,1215661,449757,35917,248,13819,4851,1535513
Российская Федерация,55-59 ,9670775,8171093,124531,1836485,119990,1415131,301364,160931,4067286,2640882,1426404,1440251,489188,38767,234,13420,4637,1499682
Российская Федерация,60-64 ,10648786,9164521,135722,1790439,107710,1399837,282892,151731,4582093,3017325,1564768,1810081,615090,66118,225,13022,4168,1484265
Российская Федерация,65-69 ,9024308,7753744,120274,1417098,75180,1111114,230804,119250,3754596,2506423,1248173,1595459,658068,78253,183,10563,3094,1270564
Российская Федерация,70 и более,14817627,12615034,198376,2018148,100571,1589333,328244,164899,4757311,3177952,1579359,2671309,1921541,845070,678,37702,7629,2202593
Центральный федеральный округ,6-9,1620843,1298317,-,-,-,-,-,-,-,-,-,-,-,-,995151,303166,2791,322526
Центральный федеральный округ,10-14,1925049,1591527,-,-,-,-,-,-,-,-,-,-,-,1387100,182772,21655,641,333522
Центральный федеральный округ,15-17,1087412,887609,-,-,-,-,-,-,892,-,892,184419,516551,179424,575,5748,448,199803
Центральный федеральный округ,18-19 ,804718,638741,-,-,-,-,-,-,98455,60994,37461,404886,124778,8989,186,1447,313,165977
Центральный федеральный округ,20-24 ,2182409,1608364,593,336723,23252,60762,252709,70916,500938,315431,185507,536764,145485,13420,366,3159,1019,574045
Центральный федеральный округ,25-29 ,2154593,1641476,17261,724953,106618,288685,329650,80147,539280,340504,198776,174244,93424,8927,225,3015,1270,513117
Центральный федеральный округ,30-34 ,3331405,2540287,39459,1122097,93104,698395,330598,102515,854610,535142,319468,258697,141222,16451,783,4453,1731,791118
Центральный федеральный округ,35-39 ,3656214,2782933,48925,1188449,92235,779909,316305,103921,968743,601447,367296,289659,159376,18657,716,4487,1510,873281
Центральный федеральный округ,40-44 ,3303629,2547011,46995,990889,78463,663113,249313,88308,964511,595906,368605,286030,151583,14280,648,3767,1184,756618
Центральный федеральный округ,45-49 ,2960884,2310051,41808,803107,63605,549300,190202,73220,967606,600512,367094,279115,130679,10869,579,3068,974,650833
