Название переменной;Значение переменной;Variable label;Статус переменной в RCVS-18;Статус переменной в RCVS-21;Статус переменной в RCVS-24
ID;Идентификатор респондента; Respondent's ID ;Y;Y;Y
IVDur;Длительность интервью (сек.);Interview length (in seconds);Y;Y;Y
Q2003;Тип населенного пункта;Type of settlement;Y;Y;Y
Q2001;Федеральный округ;Federal district;Y;Y;Y
Q1005;Регион;Region;Y;Y;Y
Q1;Пол;Sex (coded by voice) ;Y;Y;Y
Q2;Скажите, пожалуйста, сколько вам полных лет?;Please tell me how old you are? ;Y;Y;Y
Q75;Вспомните, пожалуйста, было ли такое, что вас обокрали, вас побили, вам угрожали, вы стали жертвой насилия, мошенничества или других преступлений в России за последние 5 лет ?;Please recall whether you were robbed, assaulted, threatened, or were a victim of violence, fraud, or other crimes in Russia during the last 5 years? ;Y;Y;F
Q75_1N;Сколько всего подобных случаев произошло с Вами за последние 5 лет?;How many such occasions have happened to you during the last 5 years? ;Y;Y;F
Q751;Вспомните, пожалуйста, было ли такое, что вас обокрали, вас побили, вам угрожали, вы стали жертвой насилия, мошенничества или других преступлений в России с июня 2021 года?;Please recall whether you have been robbed, assaulted, threatened, or become a victim of violence, fraud, or other crimes in Russia since June, 2021? ;N;N;Y
Q751_1N;Сколько всего подобных случаев произошло с Вами за это время?;How many such occasions have happened to you since then? ;N;N;Y
Q76;А за последние 12 месяцев  такие случаи бывали?;Have this happened over the last 12 months? ;Y;Y;F
Q76_1N;Сколько всего подобных случаев произошло с Вами за последние 12 месяцев?;How many such occasions have happened to you during the last 12 months? ;Y;Y;F
Q5;Каким было последнее преступление?;What was the last crime? I will ask several follow-up questions about it. ;Y;Y;Q
Q66;Можно ли сказать, что в Вашем случае преступление произошло через телефон / интернет (например, злоумышленники Вам звонили или писали с просьбой перевести им деньги) или к Вашему случаю это неприменимо?;In your case, can it be said that the crime occurred via the telephone/internet (for example, the perpetrators called or wrote to you asking you to transfer money to them) or is this not applicable to your case? ;Y;N;N
Q661;Можно ли сказать, что в Вашем случае преступление произошло через телефонный звонок?;In your case, can it be said that the offence occurred through a phone call? ;N;Y;QO
Q662;Можно ли сказать, что преступление произошло через интернет?;In your case, can it be said that the offence took place via the internet? ;N;Y;Y
Q663;В случае этого преступления у вас взломали или украли аккаунт в социальных сетях или на других сайтах?;In this case of a crime, was your account hacked or stolen on social media or other websites? ;N;Y;QO
Q14;Если возможно указать, то где конкретно это произошло? Например, в магазине, на работе, на улице, у знакомых и т.д.;If possible, could you specify where exactly it happened? For example, in a store, at work, on the street, at a friend's house, etc. ;Y;Y;OF
Q1414;Где Вы в этот момент находились? (преступление через телефон или Интернет);Where were you at that moment? (Crime committed via telephone or internet) ;Y;Y;N
Q18;Были ли в этот момент рядом с вами другие люди?;Was someone around you when the crime was happening? ;Y;Y;Y
Q15;Это произошло в светлое или темное время суток?;Did the crime happened in the daylight or not? ;Y;Y;F
Q16;В каком примерно месяце это было?;What month was it? ;Y;Y;Y
Q77;А не могли бы примерно вспомнить, какое это было время года?;What time of year was it? ;Y;Y;F
Q17;Можно ли сказать, что к преступлению привела Ваша оплошность?;Can you say that the crime happened due to your negligence? ;Y;Y;Y
Q19_1;Материальный ущерб: Наличные деньги;Can we say that you suffered material damage as a result of this event?: Cash ;Y;Y;Y
Q19_2;Материальный ущерб: Безналичные деньги (деньги с карты, счета и т.п.); Can we say that you suffered material damage as a result of this event?: Money from bank cards and accounts etc. ;Y;Y;Y
Q19_3;Материальный ущерб: Банковские карты и т.п.;Can we say that you suffered material damage as a result of this event?: Bank cards etc. ;Y;Y;Y
Q19_4;Материальный ущерб: Документы (паспорт, права);Can we say that you suffered material damage as a result of this event?: Documents (such as passport) ;Y;Y;Y
Q19_5;Материальный ущерб: Техника (телефон, пылесос, инструменты);Can we say that you suffered material damage as a result of this event?: Appliances (phone, hoover, tools). ;Y;Y;Y
Q19_6;Материальный ущерб: Драгоценности и украшения;Can we say that you suffered material damage as a result of this event?: Jewellery and ornaments). ;Y;Y;Y
Q19_7;Материальный ущерб: Транспортное средство (в т.ч. и угон на запчасти);Can we say that you suffered material damage as a result of this event?: Car and other transport (incl. theft and stolen repair parts) ;Y;Y;Y
